genus	num	p	r
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Cellulomonadaceae|g_Oerskovia	80	0.0258570499746862	-0.496801219948216
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Cellulomonadaceae|g_Pseudactinotalea	47	0.0319435547178703	-0.480631850461945
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Dermabacteraceae|g_Dermabacter	136	0.00815996313304497	-0.573795831438884
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Dermacoccaceae|g_Kytococcus	149	0.0298578930727162	-0.485876567817887
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Dermatophilaceae|g_Dermatophilus	8	0.0188768506671267	-0.519578902484029
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Intrasporangiaceae|g_Arsenicicoccus	138	0.0472511127333508	-0.448626556195662
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Intrasporangiaceae|g_Janibacter	217	0.0315642796179672	-0.481565222856137
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Aurantimicrobium	42	0.00587238373697261	-0.592844742438259
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Diaminobutyricimonas	64	0.0494639419860413	-0.444695385481214
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Gryllotalpicola	60	0.0448035830504619	0.453142930922464
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leifsonia	355	0.00984430003305579	-0.562406015037594
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leucobacter	261	0.0260514647072489	-0.496240601503759
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Marisediminicola	34	0.0421602011451869	-0.458239407374042
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium	2099	0.0305084935506666	-0.484210526315789
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microcella	4	0.0410862553710945	-0.460380636399255
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microterricola	186	0.00607015369927582	-0.590977443609023
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Pontimonas	13	0.0112663321376127	-0.553966208388612
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Salinibacterium	70	0.00643499300820501	-0.587660061016629
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter	1521	0.0199197634597036	-0.515789473684211
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Citricoccus	36	0.0332801422845302	-0.477410179963586
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Renibacterium	10	0.0212154513011914	0.511295760560371
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Rothia	184	0.00155440134362464	-0.659646530289712
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Sanguibacteraceae|g_Sanguibacter	102	0.0174087762793563	-0.525207071177474
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micromonosporales|f_Micromonosporaceae|g_Actinoplanes	775	0.0225290088991975	-0.506957538671911
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Nocardioidaceae|g_Marmoricola	142	0.0161664723114705	-0.530274576800738
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Nocardioidaceae|g_Nocardioides	1818	0.0475317357506642	-0.44812030075188
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Tessaracoccus	432	0.0167591268829289	-0.52781954887218
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Pseudonocardiales|f_Pseudonocardiaceae|g_Actinosynnema	194	0.0119196370019133	-0.550375939849624
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Pseudonocardiales|f_Pseudonocardiaceae|g_Kibdelosporangium	151	0.0412007178019545	-0.46015037593985
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Pseudonocardiales|f_Pseudonocardiaceae|g_Saccharothrix	336	0.00671905512447812	-0.585182440781523
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Kitasatospora	273	0.0441893044243516	-0.45430616225198
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptosporangiales|f_Nocardiopsaceae|g_Nocardiopsis	430	0.0190883943841925	-0.518796992481203
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptosporangiales|f_Nocardiopsaceae|g_Thermobifida	72	0.0114681597680676	-0.55283945240928
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptosporangiales|f_Thermomonosporaceae|g_Actinomadura	628	0.0160354443767762	-0.530827067669173
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Slackia	568	0.0313340172575537	-0.482136175502515
d_Bacteria|p_Actinobacteria|c_Nitriliruptoria|o_Euzebyales|f_Euzebyaceae|g_Euzebya	114	0.0140135553045835	-0.53984962406015
d_Bacteria|p_Actinobacteria|c_Rubrobacteria|o_Rubrobacterales|f_Rubrobacteraceae|g_Rubrobacter	700	0.0051629256736768	-0.6
d_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Hydrogenobaculum	15	0.0486463033511178	-0.446131937814195
d_Bacteria|p_Aquificae|c_Aquificae|o_Desulfurobacteriales|f_Desulfurobacteriaceae|g_Desulfurobacterium	25	0.0481838139049074	-0.446952722463352
